Parcela	Tratamento	Planta	Bloco	avaliador	Angulodafolha	Formatodolimbofoliar	Divisaofoliar	Divisaofoliarincisao	Formatodoapice
106	F12B1P5	5	3	3	NA	NA	NA	NA	NA
106	F12B1P5	6	3	3	NA	2	3	3	2
126	F12B1P5	1	4	1	2	1	2	1	8
126	F12B1P5	2	4	1	2	2	2	2	6
126	F12B1P5	3	4	1	2	1	2	2	6
126	F12B1P5	4	4	1	2	1	2	2	6
126	F12B1P5	5	4	1	3	1	2	2	6
126	F12B1P5	6	4	1	3	3	2	2	6
126	F12B1P5	1	4	2	1	2	2	2	6
126	F12B1P5	2	4	2	2	3	2	2	6
126	F12B1P5	3	4	2	2	3	2	2	6
126	F12B1P5	4	4	2	2	1	2	2	6
126	F12B1P5	5	4	2	2	2	2	2	NA
126	F12B1P5	6	4	2	2	2	2	2	6
126	F12B1P5	1	4	3	NA	1	3	2	2
126	F12B1P5	2	4	3	NA	2	3	2	2
126	F12B1P5	3	4	3	NA	1	3	2	2
126	F12B1P5	4	4	3	NA	1	3	2	2
126	F12B1P5	5	4	3	NA	2	NA	NA	NA
126	F12B1P5	6	4	3	NA	2	3	2	2
13	F12B2P2	1	1	1	1	1	2	2	6
13	F12B2P2	2	1	1	2	1	2	2	6
13	F12B2P2	3	1	1	1	1	2	2	6
13	F12B2P2	4	1	1	NA	NA	NA	NA	NA
13	F12B2P2	5	1	1	NA	NA	NA	NA	NA
13	F12B2P2	6	1	1	4	2	2	2	6
13	F12B2P2	1	1	2	NA	2	1	3	2
13	F12B2P2	2	1	2	2	1	3	2	6
13	F12B2P2	3	1	2	2	3	2	2	8
13	F12B2P2	4	1	2	NA	NA	NA	NA	NA
13	F12B2P2	5	1	2	NA	NA	NA	NA	NA
13	F12B2P2	6	1	2	3	3	3	2	6
13	F12B2P2	1	1	3	2	1	3	2	6
13	F12B2P2	2	1	3	2	1	3	2	6
13	F12B2P2	3	1	3	2	1	2	2	6
13	F12B2P2	4	1	3	NA	NA	NA	NA	NA
13	F12B2P2	5	1	3	NA	NA	NA	NA	NA
13	F12B2P2	6	1	3	3	3	2	2	6
